CodObr,NumPar,CodPar,Cont,Descri,PreUni,CanPar,RenPar2,FechaIni,CantDias,FechaFin,Seccionada,PartBase,Porcentaje,UniPar,IndIni
"576PDVS2",14,"*OBREX30",,"CONCRETO DE Fc 180 Kg/CM2 A LOS 28 DIAS, PARA LA CONSTRUCCION DE ACERAS Y CUNETAS CORRESPONDIENTES A OBRAS DE SERVICIOS. INCLUYE TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50 KM Y EXCLUYE EL REFUERZO METALICO Y EL ENCOFRADO.",1.9120000000000002e+02,2.4000000000000000e+02,1.4000000000000000e+01,"04/27/23 00:00:00",1.8000000000000000e+01,"05/22/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",15,"OBREX30",,"PAISAJISMO CON ARBUSTOS, PLANTAS DECORATIVAS  Y PIEDRA PARA AREAS EXTERIORES.",6.9819999999999993e+01,3.2500000000000000e+03,6.0000000000000000e+01,"04/27/23 00:00:00",5.5000000000000000e+01,"07/12/23 00:00:00",0,0,0.0000000000000000e+00,"m2","I"
"576PDVS2",16,"LAI490",,"REPLANTEO AUXILIAR DE CLOACAS.",3.0899999999999999e+00,1.6180000000000000e+03,4.0000000000000000e+02,"04/27/23 00:00:00",5.0000000000000000e+00,"05/03/23 00:00:00",0,0,0.0000000000000000e+00,"ml","I"
"576PDVS2",17,"P0000164",,"EXCAVACION EN TIERRA CON USO DE EQUIPO RETROEXCAVADOR PARA ASIENTO DE FUNDACIONES, ZANJAS, ETC. INCLUYE REPERFILAMIENTO A MANO ",2.1379999999999999e+01,1.0014600000000000e+03,6.0000000000000000e+01,"04/27/23 00:00:00",1.7000000000000000e+01,"05/19/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",18,"BOTE1",,"BOTE DE CUALQUIER TIPO DE MATERIAL PROVENIENTE DE LAS EXCAVACIONES Y MOVIMIENTO DE TIERRA, A DISTANCIAS MAYORES DE 10 KM",6.6399999999999997e+00,8.1123999999999996e+03,1.0000000000000000e+02,"04/27/23 00:00:00",8.2000000000000000e+01,"08/18/23 00:00:00",0,0,0.0000000000000000e+00,"M3","I"
"576PDVS2",19,"LAI499",,"CONSTRUCCION DE BASE DE PIEDRA PICADA CORRESPONDIENTE A OBRAS PREPARATIVAS.",6.3430000000000000e+01,6.6760000000000005e+01,4.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",20,"P0001661",,"SUMINISTRO TRANSPORTE Y COLOCACION DE POLVILLO PARA OBRAS DE DRENAJE.",3.0649999999999999e+01,4.0581999999999999e+02,4.5000000000000000e+01,"04/27/23 00:00:00",1.0000000000000000e+01,"05/10/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",21,"P0002002",,"COMPACTACION DE RELLENOS CON APISONADORES DE PERCUSION, CORRESPONDIENTE A LOS ASIENTOS DE FUNDACIONES, ZANJAS, ETC. ",3.0129999999999999e+01,1.3353000000000000e+02,3.7500000000000000e+01,"04/27/23 00:00:00",4.0000000000000000e+00,"05/02/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",22,"UP333",,"SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA PVC PARA CLOACAS DE PVC DE AGUAS NEGRAS D=  8"" JUNTA DE GOMA AUTOMATICA",6.3359999999999999e+01,1.1127300000000000e+03,3.0000000000000000e+01,"04/27/23 00:00:00",3.8000000000000000e+01,"06/19/23 00:00:00",0,0,0.0000000000000000e+00,"m","I"
"576PDVS2",23,"LAI530",,"SUMINISTRO Y COLOC. DE EMPOTRAMIENTO TIPO I, COMPUESTO POR CORTE YEE 6"" CODO 45I D= 6""(CL-C-65), A COLECTOR.(INCLUYE TANQUILLA, TAPA  Y TUBERIA)",6.6754999999999995e+02,4.8000000000000000e+01,3.0000000000000000e+00,"04/27/23 00:00:00",1.6000000000000000e+01,"05/18/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",24,"P0004769",,"CONSTRUCCION DE BASES DE CONCRETO PARA BOCAS DE VISITA PREFABRICADAS, INCLUYE EL TRANSPORTE DEL CEMENTO Y AGREGADOS HASTA 50km EXCLUYE EL REFUERZO METALICO. ",2.6931999999999999e+02,1.2000000000000000e+01,1.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",25,"P0005722",,"SUMINISTRO, TRANSPORTE Y COLOCACION DE CONOS DE DIAMETROS O.61m Y 1.22m Y ALTURA UTIL DE 1.00m, PARA BOCA DE VISITA.",5.9575999999999999e+02,1.4000000000000000e+01,3.0000000000000000e+00,"04/27/23 00:00:00",5.0000000000000000e+00,"05/03/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",26,"P0003198",,"SUMINISTRO, TRANSPORTE Y COLOCACION DE CILINDRO PARA BOCA DE VISITA M DE 1.22m DE DIAMETRO. ",7.1462000000000000e+02,1.3090000000000000e+01,2.0000000000000000e+00,"04/27/23 00:00:00",7.0000000000000000e+00,"05/05/23 00:00:00",0,0,0.0000000000000000e+00,"m","I"
"576PDVS2",27,"P0004757",,"SUMINISTRO TRANSPORTE Y COLOCACION DE MARCO Y TAPA DE HIERRO FUNDIDO PESADO PARA BOCA DE VISITA ",4.1731000000000000e+02,1.4000000000000000e+01,5.0000000000000000e+00,"04/27/23 00:00:00",3.0000000000000000e+00,"05/01/23 00:00:00",0,0,0.0000000000000000e+00,"und","I"
"576PDVS2",28,"LAI531",,"REPLANTEO AUXILIAR DE ACUEDUCTOS",3.0900000000000003e+00,1.1127300000000000e+03,3.3500000000000000e+02,"04/27/23 00:00:00",4.0000000000000000e+00,"05/02/23 00:00:00",0,0,0.0000000000000000e+00,"ml","I"
"576PDVS2",29,"P0000164",,"EXCAVACION EN TIERRA CON USO DE EQUIPO RETROEXCAVADOR PARA ASIENTO DE FUNDACIONES, ZANJAS, ETC. INCLUYE REPERFILAMIENTO A MANO ",2.1379999999999999e+01,4.0057999999999998e+02,6.0000000000000000e+01,"04/27/23 00:00:00",7.0000000000000000e+00,"05/05/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",30,"P0000173",,"COMPACTACION DE RELLENOS CON APISONADORES DE PERCUSION, CORRESPONDIENTE A LOS ASIENTOS DE FUNDACIONES, ZANJAS, ETC ",2.2660000000000000e+01,6.6760000000000005e+01,5.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"m3","I"
"576PDVS2",31,"P0003576",,"SUMINISTRO, TRANSPORTE Y COLOCACION DE TUBERIA DE PVC, CLASE AB, D=4"" 110mm E-JA ",5.0609999999999999e+01,1.1127300000000000e+03,1.0000000000000000e+02,"04/27/23 00:00:00",1.2000000000000000e+01,"05/12/23 00:00:00",0,0,0.0000000000000000e+00,"m","I"
"576PDVS2",32,"P0003606",,"SUMINISTRO Y TRANSPORTE DE TEE PVC DE 110x110mm CLASE AC JA-JA-JA ",9.3849999999999994e+01,5.2000000000000000e+01,1.0000000000000000e+01,"04/27/23 00:00:00",6.0000000000000000e+00,"05/04/23 00:00:00",0,0,0.0000000000000000e+00,"PZA","I"
"576PDVS2",33,"P0003641",,"SUMINISTRO Y TRANSPORTE DE TAPON MACHO DE PVC D=110mm (4"") CLASE AC JA ",7.3280000000000001e+01,5.2000000000000000e+01,1.0000000000000000e+01,"04/27/23 00:00:00",6.0000000000000000e+00,"05/04/23 00:00:00",0,0,0.0000000000000000e+00,"PZA","I"
"576PDVS2",34,"LIC006",,"CONSTRUCCION DE TOMAS DOMICILIARIAS D = 1/2"". INCLUYE COLOCACION DE ABRAZADERAS, ADAPTADOR MACHO ROSCADO, CAJA TRONCOCONICA Y LLAVE PASO",5.9300000000000004e+01,5.7600000000000000e+02,1.2000000000000000e+01,"04/27/23 00:00:00",4.8000000000000000e+01,"07/03/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",35,"P0005861",,"S/I DE POSTE DE HIERRO DE37´, SECC 6-5-4",1.9783600000000001e+03,1.3000000000000000e+01,6.0000000000000000e+00,"04/27/23 00:00:00",3.0000000000000000e+00,"05/01/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",36,"P0005862",,"S/I DE ESTRUCTURA DE HIERRO DE 37´, SECC 6-5-4, PARA POSTES DE ALTA TENSION.",2.6936799999999998e+03,1.4000000000000000e+01,1.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",37,"P0005896",,"S/I DE POSTE DE HIERRO DE27´, SECC 6-5-4",1.8173100000000002e+03,5.2000000000000000e+01,3.0000000000000000e+00,"04/27/23 00:00:00",1.8000000000000000e+01,"05/22/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",38,"ESTRUC27",,"S/I DE ESTRUCTURA DE HIERRO DE 27´, SECC 6-5-4, PARA POSTES DE ALTA TENSION.",2.7293500000000004e+03,8.0000000000000000e+00,1.0000000000000000e+01,"04/27/23 00:00:00",1.0000000000000000e+00,"04/27/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",39,"P0005864",,"SUMINISTRO Y COLOCACION DE CRUCETA DOBLE EN HIERRO GALVANIZADO, EN LINEA TERMINAL TRIFASICA, L=1.80m (75mmx75mmx8mm) INCLUYE EL TRANSPORTE",1.5621500000000001e+03,2.6000000000000000e+01,2.0000000000000000e+01,"04/27/23 00:00:00",2.0000000000000000e+00,"04/28/23 00:00:00",0,0,0.0000000000000000e+00,"pza","I"
"576PDVS2",40,"P0005865",,"SUMINISTRO Y COLOCACION DE CRUCETA DE 1.80m EN PASO DE LINEA TRIFASICA.",1.2598199999999999e+03,2.0000000000000000e+01,2.0000000000000000e+01,"04/27/23 00:00:00",1.0000000000000000e+00,"04/27/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",41,"P0005866",,"S/I DE SECCIONAMIENTO DE LINEA DE ALTA TENSION TRIFASICA, EN POSTE.",9.2600000000000009e+01,4.3200000000000000e+02,4.0000000000000000e+01,"04/27/23 00:00:00",1.1000000000000000e+01,"05/11/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",42,"P0005868",,"SUMINISTRO Y COLOCACION DE BANCO DE TRES TRANSFORMADORES MONOFASICOS DE 50 KVA, 13.800/240 120VOLT. INCLUYE EL TRANSPORTE.",1.3353309999999999e+04,2.4000000000000000e+01,3.0000000000000000e+00,"04/27/23 00:00:00",8.0000000000000000e+00,"05/08/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",43,"P0005872",,"INSTALACION ELECTRICA DE CABLE DE COBRE TRENZADO REVESTIDO CALIBRE 2/0 AWG, 15 KV.",1.6140000000000001e+01,7.8546000000000004e+02,5.5000000000000000e+01,"04/27/23 00:00:00",1.5000000000000000e+01,"05/17/23 00:00:00",0,0,0.0000000000000000e+00,"M","I"
"576PDVS2",44,"CALBRE3",,"INSTALACION ELECTRICA DE CABLE DE COBRE, TRENZADO, REVESTIDO, THW, CALIBRE 3/0 AWG(5.89mm).",2.0020000000000000e+01,5.8909000000000003e+02,1.2000000000000000e+02,"04/27/23 00:00:00",5.0000000000000000e+00,"05/03/23 00:00:00",0,0,0.0000000000000000e+00,"m","I"
"576PDVS2",45,"TEGDG",,"SUMINISTRO Y COLOCACION DE PUESTA A TIERRA DE BANCO DE TRANSPFORMADOR AEREO",4.8113000000000005e+02,2.4000000000000000e+01,2.0000000000000000e+00,"04/27/23 00:00:00",1.2000000000000000e+01,"05/12/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",46,"FEFF",,"S/I DE SECCIONAMIENTO DE BANCO DE TRANSFORMACION TRIFASICO AEREO.",2.6486000000000001e+02,2.4000000000000000e+01,2.0000000000000000e+00,"04/27/23 00:00:00",1.2000000000000000e+01,"05/12/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
"576PDVS2",47,"P0005888",,"SUMINISTRO Y COLOCACION DE TANQUILLA TIPO E2 SEGUN NORMA DE CORPOELC. INCLUYE TAPA PARA TANQUILLA.",2.8141000000000003e+02,1.3800000000000000e+02,2.0000000000000000e+01,"04/27/23 00:00:00",7.0000000000000000e+00,"05/05/23 00:00:00",0,0,0.0000000000000000e+00,"UND","I"
