CodEqu,CodFam,CosEqu,CosDia,Deprec,Transp,FecEqu,Dep01,Provee,Man01,Rep01,PorNacImp,TipEqu,Importado,CodAlt,Descri
"EQUIP","00",1.5000000000000000e+02,1.5000000000000000e+02,1.0000000000000000e+00,"N","06/30/09 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"EQUIPO DE PLOMERIA"
"FIORI","01",3.0000000000000000e+02,3.0000000000000000e+02,1.0000000000000000e+00,"N","03/09/23 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"FIORI"
"MED008","00",1.2500000000000000e+02,7.5000000000000000e-01,6.0000000000000001e-03,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CINTA METRICA 50 MTS DE FIBRA           "
"MED009","00",9.5000000000000000e+01,9.4999999999999996e-01,1.0000000000000000e-02,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"JALONES PARA MEDICIONES DE TOPOGRAFIA"
"MED010","00",1.0000000000000000e+03,5.0000000000000000e+01,5.0000000000000003e-02,,"02/05/08 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"MIRA ESTADIMETRICA PARA TOPOGRAFIA"
"MED015","00",1.1000000000000000e+02,2.2000000000000002e+00,2.0000000000000000e-02,,"02/05/08 00:00:00",1.00000000e+00,"FERRETERIA DEL ESTE",,,1.0000000000000000e+02,0,0,,"CINTA METRICA 25 MTS. MARCA ESPN P/TOPOG"
"MED016","00",2.0000000000000000e+02,2.0000000000000000e+02,1.0000000000000000e+00,,"01/30/23 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"TEODOLITO ELECTRONICO WILD T-1100, PRECI"
"PIN013","00",1.0000000000000000e+01,6.9999999999999996e-01,7.0000000000000007e-02,,"06/22/09 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"BROCHA PROFESIONAL 3"""
"PLO012","00",8.5000000000000000e+01,8.5000000000000000e+01,1.0000000000000000e+00,,"05/26/09 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"EQUIPO DE PLOMERIA                      "
"EQUI0345","00",3.4442779999999999e+04,6.8890000000000001e+01,2.0000000000000000e-03,,"02/17/09 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"TERRAJA ELECTRICA RIDGID 300 COMP."
"*EQUIP04","01",1.1011500000000001e+03,1.1010000000000000e+01,1.0000000000000000e-02,"N","01/02/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"EQUIPO PARA CARPINTERIA"
"*EQUIP12","01",2.5979000000000002e+02,1.2990000000000001e+02,5.0000000000000000e-01,"N","09/04/22 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"EQUIPO MENOR P/MOV. DE TIERRA"
"*PLANCH1","02",3.0000000000000000e+02,3.0000000000000000e+02,1.0000000000000000e+00,,"09/04/22 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"COMPACTADORA D/PLANCHA 50x70cm, 6.5HP Y 110 Kg"
"*PATROL1","02",8.7970331000000006e+05,1.7594100000000001e+03,2.0000000000000000e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"MOTONIVELADORA CAT 120H CON RIPPER"
"*COMPAC2","02",3.3152731000000000e+05,6.6304999999999995e+02,2.0000000000000000e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"COMPACTADORA CAT CB-534D DE ASFALTO (RODILLO)"
"*COMPAC7","02",2.5457948999999999e+05,5.0916000000000003e+02,2.0000000000000000e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"COMPACTADORA CAT PS300B PNEUMATICO"
"*CAMIO06","02",8.3834809999999998e+04,1.6766999999999999e+02,2.0000000000000000e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"CAMION FIAT IMPRIMADOR ROSCO"
"*CAMIO07","02",2.2328000000000000e+02,1.1164000000000000e+02,5.0000000000000000e-01,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"ESCOBA AUTOPROPULSADA."
"*LLAVE03","01",4.7400000000000002e+00,5.0000000000000003e-02,1.0000000000000000e-02,,"08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"LLAVE DE TUBO # 15 RIDGID"
"*DRYWA33","01",2.2000000000000002e+00,2.0000000000000000e-02,1.0000000000000000e-02,"N","08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"NIVEL DE 3 BURBUJAS DE LARGO= 14"", MARCA STANLEY"
"*SEGUETA","01",1.0210000000000001e+01,5.9999999999999998e-02,5.4999999999999997e-03,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"SEGUETA AJUSTABLE"
"*LLAVE50","01",5.3200000000000003e+00,5.0000000000000003e-02,1.0000000000000000e-02,,"08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"JUEGO DE LLAVES COMBINADAS DE HASTA 1-1/2"""
"*PROBADO","01",1.6800000000000001e+01,8.3999999999999997e-01,5.0000000000000003e-02,,"08/25/21 00:00:00",1.00000000e+00,,,,1.0000000000000000e+02,0,0,,"PROBADOR DE CORRIENTE"
"*LIMA001","01",2.0800000000000001e+00,2.0000000000000000e-02,1.0000000000000000e-02,,"08/25/21 00:00:00",1.00000000e+00,,0.00000000e+00,0.00000000e+00,1.0000000000000000e+02,0,0,,"LIMA REDONDA PARA METAL DE DIAMETRO= 8"""
