CodObr,NumPar,CodPar,RenPar,CanPar,PreUni,SubPar,HorHom,UniMat,UniEqu,UniMan,DiaCom,Puindi,PreSoc,AdmIni,Utilid,Financ,Divid1,DiaCo1,CapPar,RenDi2,fECiNI,Nota01,AplISV,Nota02,PorISV,STotMat,STotEqu,SSubMan,SPreSoc,STotB01,STotB02,StotB03,STotMan,SCosDir,SAdmini,SUtilid,SFinanc,SImpues,SHorHom,SDurDia,SCosHom,DiaIni,STotGas,STotPar,PreSoc2,STarCom,SSubMan2,SPreSoc2,CodGru
"576PDVS2",78,"EDF-0901",1.4000000000000000e+01,5.7600000000000000e+02,4.2562000000000000e+02," ",5.5954285714285716e+03,2.6500000000000000e+02,1.3899999999999999e+00,7.0069999999999993e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,2.6500000000000000e+02,1.9519999999999996e+01,2.1800000000000000e+02,7.6300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8100000000000000e+02,3.3645999999999998e+02,5.0469999999999999e+01,3.8689999999999998e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.5954285714285716e+03,4.1142857142857146e+01,7.2130882352941157e+00,,0.0000000000000000e+00,2.4515712000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",79,"P0000855",9.0000000000000000e+01,2.8800000000000000e+03,1.6369999999999999e+02," ",5.9520000000000000e+03,1.1320000000000000e+02,7.7000000000000002e-01,1.5440000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,1.1320000000000000e+02,6.9619999999999990e+01,3.0875000000000000e+02,1.0806300000000001e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3893800000000001e+03,1.2941000000000000e+02,1.9410000000000000e+01,1.4880000000000001e+01,0.0000000000000000e+00,0.0000000000000000e+00,5.9520000000000000e+03,3.2000000000000000e+01,7.4709677419354836e+00,,0.0000000000000000e+00,4.7145600000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",80,"P0000849",5.0000000000000000e+01,3.4560000000000000e+03,1.1083000000000000e+02," ",1.4929920000000002e+04,5.8730000000000004e+01,9.7999999999999998e-01,2.7899999999999999e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,5.8730000000000004e+01,4.9219999999999999e+01,3.1000000000000000e+02,1.0850000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3950000000000000e+03,8.7609999999999999e+01,1.3140000000000001e+01,1.0080000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,1.4929920000000002e+04,6.9120000000000005e+01,6.4583333333333321e+00,,0.0000000000000000e+00,3.8302847999999998e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",82,"P0000909",8.0000000000000000e+01,3.4560000000000000e+03,3.5090000000000003e+01," ",5.5296000000000004e+03,1.5000000000000000e+01,5.8999999999999997e-01,1.2150000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,1.5000000000000000e+01,4.7090000000000003e+01,2.1600000000000000e+02,7.5600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.7200000000000000e+02,2.7740000000000002e+01,4.1600000000000001e+00,3.1899999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.5296000000000004e+03,4.3200000000000003e+01,7.5937500000000000e+00,,0.0000000000000000e+00,1.2127103999999999e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",84,"P0000904",1.2000000000000000e+03,1.2000000000000000e+05,1.0630000000000001e+01," ",8.2400000000000000e+04,2.9800000000000004e+00,1.4999999999999999e-01,5.2699999999999996e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,2.9800000000000004e+00,1.7494999999999999e+02,1.4040000000000000e+03,4.9140000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3180000000000000e+03,8.4000000000000004e+00,1.2600000000000000e+00,9.6999999999999997e-01,0.0000000000000000e+00,0.0000000000000000e+00,8.2400000000000000e+04,1.0000000000000000e+02,7.6747572815533980e+00,,0.0000000000000000e+00,1.2756000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",7,"*COMPC01",1.5000000000000000e+02,3.1480000000000000e+03,4.8519999999999996e+01," ",3.0220800000000004e+03,1.5000000000000000e+01,1.4600000000000000e+01,8.7599999999999998e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,1.5000000000000000e+01,2.1896900000000001e+03,2.9200000000000000e+02,1.0220000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3140000000000000e+03,3.8359999999999999e+01,5.7500000000000000e+00,4.4100000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0220800000000004e+03,2.0986666666666668e+01,9.1249999999999982e+00,,0.0000000000000000e+00,1.5274095999999999e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",86,"P0000896",4.0000000000000000e+02,1.4400000000000000e+04,1.1660000000000000e+01," ",1.0080000000000000e+04,4.0000000000000000e+00,2.0000000000000000e-02,5.2000000000000002e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,4.0000000000000000e+00,7.8000000000000007e+00,4.6200000000000000e+02,1.6170000000000000e+03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0790000000000000e+03,9.2200000000000006e+00,1.3799999999999999e+00,1.0600000000000001e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0080000000000000e+04,3.6000000000000000e+01,7.4285714285714288e+00,,0.0000000000000000e+00,1.6790400000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",87,"P0000935",2.0000000000000000e+02,5.5505459999999999e+04,7.1600000000000001e+00," ",2.2202183999999997e+04,2.6200000000000001e+00,1.4000000000000001e-01,2.8999999999999999e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,2.6200000000000001e+00,2.7489999999999998e+01,1.2900000000000000e+02,4.5150000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8050000000000000e+02,5.6600000000000001e+00,8.4999999999999998e-01,6.5000000000000002e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.2202183999999997e+04,2.7752729999999997e+02,7.2500000000000009e+00,,0.0000000000000000e+00,3.9741909000000003e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",88,"P0000930",6.8000000000000000e+01,1.2500000000000000e+04,8.1500000000000004e+00," ",5.1470588235294117e+03,3.3000000000000003e+00,1.0000000000000001e-01,3.0400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,3.3000000000000003e+00,6.8599999999999994e+00,4.6000000000000000e+01,1.6100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0700000000000000e+02,6.4400000000000004e+00,9.6999999999999997e-01,7.3999999999999999e-01,0.0000000000000000e+00,0.0000000000000000e+00,5.1470588235294117e+03,1.8382352941176470e+02,7.3828571428571426e+00,,0.0000000000000000e+00,1.0187500000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
"576PDVS2",89,"P0000936",5.4000000000000000e+01,7.7760000000000000e+03,1.6960000000000001e+01," ",1.1520000000000000e+04,2.1499999999999999e+00,5.1000000000000001e-01,1.0750000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+02,1.5000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00," ",0.0000000000000000e+00,,,"P",,1.6000000000000000e+01,2.1499999999999999e+00,2.7479999999999997e+01,1.2900000000000000e+02,4.5150000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.8050000000000000e+02,1.3410000000000000e+01,2.0099999999999998e+00,1.5400000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1520000000000000e+04,1.4400000000000000e+02,7.2562499999999996e+00,,0.0000000000000000e+00,1.3188095999999999e+05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,
